path,top_component,primary_domain,secondary_domains,all_domains,cross_domain,classification_confidence,classification_basis,review_treatment,is_test,is_fixture,is_example,is_generated,is_vendor,contains_embedded_tests,is_schema,is_doc,is_config,is_build,is_asset,is_symlink,lines,bytes
abuse-enforcement-service/service-lib/src/growthbook_writer.rs,abuse-enforcement-service,D13,D17;D16,D13;D17;D16,YES,HIGH,abuse-enforcement,FULL_SOURCE_REVIEW,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,257,8466
abuse-enforcement-service/service-lib/src/lib.rs,abuse-enforcement-service,D13,D16,D13;D16,YES,HIGH,abuse-enforcement,FULL_SOURCE_REVIEW,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,1955,67593
abuse-enforcement-service/service-lib/src/limiter.rs,abuse-enforcement-service,D13,D16,D13;D16,YES,HIGH,abuse-enforcement,FULL_SOURCE_REVIEW,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,145,4517
abuse-enforcement-service/service-lib/src/manhattan.rs,abuse-enforcement-service,D13,D16,D13;D16,YES,HIGH,abuse-enforcement,FULL_SOURCE_REVIEW,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,103,3072
abuse-enforcement-service/service-lib/src/metrics.rs,abuse-enforcement-service,D13,D16;D18,D13;D16;D18,YES,HIGH,abuse-enforcement,FULL_SOURCE_REVIEW,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,445,16186
abuse-enforcement-service/service-lib/src/rules.rs,abuse-enforcement-service,D13,D16,D13;D16,YES,HIGH,abuse-enforcement,FULL_SOURCE_REVIEW,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,1202,38647
abuse-enforcement-service/service-lib/src/service.rs,abuse-enforcement-service,D13,D16,D13;D16,YES,HIGH,abuse-enforcement,FULL_SOURCE_REVIEW,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,2598,88259
abuse-enforcement-service/service-lib/src/sliding_window.rs,abuse-enforcement-service,D13,D16,D13;D16,YES,HIGH,abuse-enforcement,FULL_SOURCE_REVIEW,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,672,21267
abuse-enforcement-service/service-lib/src/strato.rs,abuse-enforcement-service,D13,D16,D13;D16,YES,HIGH,abuse-enforcement,FULL_SOURCE_REVIEW,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,283,8813
abuse-enforcement-service/service-lib/src/test_user.rs,abuse-enforcement-service,D13,D16,D13;D16,YES,HIGH,abuse-enforcement,TEST_EVIDENCE,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,75,2335
abuse-enforcement-service/types/src/allowlist.rs,abuse-enforcement-service,D13,D17;D16,D13;D17;D16,YES,HIGH,abuse-enforcement,FULL_SOURCE_REVIEW,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,315,9267
abuse-enforcement-service/types/src/config.rs,abuse-enforcement-service,D13,D17;D16,D13;D17;D16,YES,HIGH,abuse-enforcement,FULL_SOURCE_REVIEW,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,8,235
abuse-enforcement-service/types/src/lib.rs,abuse-enforcement-service,D13,D16,D13;D16,YES,HIGH,abuse-enforcement,FULL_SOURCE_REVIEW,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,2,35
adult-content/BUILD,adult-content,D09,D19,D09;D19,YES,HIGH,adult-content/media-model,REPRO_BUILD_REVIEW,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,11,170
adult-content/calibration.py,adult-content,D09,D15,D09;D15,YES,HIGH,adult-content/media-model,FULL_SOURCE_REVIEW,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,97,3209
adult-content/config.py,adult-content,D09,D17,D09;D17,YES,HIGH,adult-content/media-model,FULL_SOURCE_REVIEW,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,44,1202
adult-content/dataset_utils.py,adult-content,D09,D15,D09;D15,YES,HIGH,adult-content/media-model,FULL_SOURCE_REVIEW,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,66,1661
adult-content/scripts/BUILD,adult-content,D09,D19,D09;D19,YES,HIGH,adult-content/media-model,REPRO_BUILD_REVIEW,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,28,898
adult-content/scripts/calibrate_model_scores.py,adult-content,D09,D15,D09;D15,YES,HIGH,adult-content/media-model,FULL_SOURCE_REVIEW,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,54,1392
adult-content/scripts/train_model.py,adult-content,D09,D15,D09;D15,YES,HIGH,adult-content/media-model,FULL_SOURCE_REVIEW,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,97,2501
adult-content/training.py,adult-content,D09,D15,D09;D15,YES,HIGH,adult-content/media-model,FULL_SOURCE_REVIEW,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,85,2242
agatha/hub/agatha/BUILD,agatha,D10,D16;D19,D10;D16;D19,YES,HIGH,agatha/account-signals,REPRO_BUILD_REVIEW,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,13,468
agatha/hub/agatha/Bijections.scala,agatha,D10,D16,D10;D16,YES,HIGH,agatha/account-signals,FULL_SOURCE_REVIEW,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,10,375
agatha/hub/agatha/builder/BUILD,agatha,D10,D16;D19,D10;D16;D19,YES,HIGH,agatha/account-signals,REPRO_BUILD_REVIEW,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,31,955
agatha/hub/agatha/builder/Builder.scala,agatha,D10,D16,D10;D16,YES,HIGH,agatha/account-signals,FULL_SOURCE_REVIEW,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,65,2411
agatha/hub/agatha/job/AgathaJobTemplates.scala,agatha,D10,D16,D10;D16,YES,HIGH,agatha/account-signals,FULL_SOURCE_REVIEW,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,180,6062
agatha/hub/agatha/job/BUILD.bazel,agatha,D10,D16;D19,D10;D16;D19,YES,HIGH,agatha/account-signals,REPRO_BUILD_REVIEW,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,27,825
agatha/hub/agatha/labels/BUILD,agatha,D10,D16;D19,D10;D16;D19,YES,HIGH,agatha/account-signals,REPRO_BUILD_REVIEW,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,38,1126
agatha/hub/agatha/labels/LabelGenerator.scala,agatha,D10,D16,D10;D16,YES,HIGH,agatha/account-signals,FULL_SOURCE_REVIEW,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,10,272
agatha/hub/agatha/labels/LabelManager.scala,agatha,D10,D16,D10;D16,YES,HIGH,agatha/account-signals,FULL_SOURCE_REVIEW,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,21,712
agatha/hub/agatha/predict/Aggregators.scala,agatha,D10,D16,D10;D16,YES,HIGH,agatha/account-signals,FULL_SOURCE_REVIEW,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,54,1810
agatha/hub/agatha/predict/BUILD,agatha,D10,D16;D19,D10;D16;D19,YES,HIGH,agatha/account-signals,REPRO_BUILD_REVIEW,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,14,539
agatha/hub/agatha/predict/Predict.scala,agatha,D10,D16,D10;D16,YES,HIGH,agatha/account-signals,FULL_SOURCE_REVIEW,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,84,2910
agatha/hub/agatha/predict/package.scala,agatha,D10,D16,D10;D16,YES,HIGH,agatha/account-signals,FULL_SOURCE_REVIEW,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,7,163
agatha/hub/agatha/thrift/BUILD,agatha,D10,D16;D19,D10;D16;D19,YES,HIGH,agatha/account-signals,REPRO_BUILD_REVIEW,NO,NO,NO,NO,NO,NO,YES,NO,NO,YES,NO,NO,14,319
agatha/hub/agatha/thrift/agatha.thrift,agatha,D10,D16,D10;D16,YES,HIGH,agatha/account-signals,FULL_SOURCE_REVIEW,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,52,1450
agatha/hub/agatha/thrift/featureSource.thrift,agatha,D10,D16,D10;D16,YES,HIGH,agatha/account-signals,FULL_SOURCE_REVIEW,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,29,580
agatha/hub/agatha/util/BUILD,agatha,D10,D16;D19,D10;D16;D19,YES,HIGH,agatha/account-signals,REPRO_BUILD_REVIEW,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,10,282
agatha/hub/agatha/util/CrossedPMIStatToModelledFeature.scala,agatha,D10,D15;D16,D10;D15;D16,YES,HIGH,agatha/account-signals,FULL_SOURCE_REVIEW,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,31,875
agatha/hub/pmi/BUILD,agatha,D10,D16;D19,D10;D16;D19,YES,HIGH,agatha/account-signals,REPRO_BUILD_REVIEW,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,11,285
agatha/hub/pmi/ModelCommon.scala,agatha,D10,D15;D16,D10;D15;D16,YES,HIGH,agatha/account-signals,FULL_SOURCE_REVIEW,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,85,2344
agatha/hub/pmi/PMI.scala,agatha,D10,D16,D10;D16,YES,HIGH,agatha/account-signals,FULL_SOURCE_REVIEW,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,353,10025
agatha/hub/pmi/PMISetExtractors.scala,agatha,D10,D16,D10;D16,YES,HIGH,agatha/account-signals,FULL_SOURCE_REVIEW,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,106,3380
agatha/hub/pmi/PMITypes.scala,agatha,D10,D16,D10;D16,YES,HIGH,agatha/account-signals,FULL_SOURCE_REVIEW,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,115,3910
agatha/hub/pmi/PreProcessors.scala,agatha,D10,D16,D10;D16,YES,HIGH,agatha/account-signals,FULL_SOURCE_REVIEW,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,50,1251
agatha/hub/pmi/examples/BUILD.bazel,agatha,D10,D16;D19,D10;D16;D19,YES,HIGH,agatha/account-signals,REPRO_BUILD_REVIEW,NO,NO,YES,NO,NO,NO,NO,NO,NO,YES,NO,NO,33,1070
agatha/hub/pmi/examples/TopFollowPmi.scala,agatha,D10,D16;D19,D10;D16;D19,YES,HIGH,agatha/account-signals,EXAMPLE_REFERENCE_REVIEW,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,128,3760
agatha/hub/pmi/math/BUILD,agatha,D10,D16;D19,D10;D16;D19,YES,HIGH,agatha/account-signals,REPRO_BUILD_REVIEW,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,7,149
agatha/hub/pmi/math/Math.scala,agatha,D10,D16,D10;D16,YES,HIGH,agatha/account-signals,FULL_SOURCE_REVIEW,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,103,2649
agatha/hub/pmi/math/aggregators/BUILD,agatha,D10,D16;D19,D10;D16;D19,YES,HIGH,agatha/account-signals,REPRO_BUILD_REVIEW,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,10,262
agatha/hub/pmi/math/aggregators/Moments.scala,agatha,D10,D16,D10;D16,YES,HIGH,agatha/account-signals,FULL_SOURCE_REVIEW,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,160,4717
agatha/hub/pmi/math/aggregators/Percentiles.scala,agatha,D10,D16,D10;D16,YES,HIGH,agatha/account-signals,FULL_SOURCE_REVIEW,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,30,843
agatha/scalding/AgathaFeaturesPredictJob.scala,agatha,D10,D16,D10;D16,YES,HIGH,agatha/account-signals,FULL_SOURCE_REVIEW,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,88,3372
agatha/scalding/NSFWBuildJob.scala,agatha,D10,D16,D10;D16,YES,HIGH,agatha/account-signals,FULL_SOURCE_REVIEW,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,57,2106
agatha/scalding/RateBasedBuildJob.scala,agatha,D10,D16,D10;D16,YES,HIGH,agatha/account-signals,FULL_SOURCE_REVIEW,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,60,2365
agatha/scalding/SpagathaBuildJob.scala,agatha,D10,D16,D10;D16,YES,HIGH,agatha/account-signals,FULL_SOURCE_REVIEW,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,56,2133
agatha/scalding/blink/BlinkScoreJobTemplate.scala,agatha,D10,D16,D10;D16,YES,HIGH,agatha/account-signals,FULL_SOURCE_REVIEW,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,338,13339
agatha/scalding/blink/ManhattanImportInjection.scala,agatha,D10,D16,D10;D16,YES,HIGH,agatha/account-signals,FULL_SOURCE_REVIEW,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,14,692
agatha/scalding/data/ActiveUserFeaturesJob.scala,agatha,D10,D16,D10;D16,YES,HIGH,agatha/account-signals,FULL_SOURCE_REVIEW,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,64,2272
agatha/scalding/data/BUILD.bazel,agatha,D10,D16;D19,D10;D16;D19,YES,HIGH,agatha/account-signals,REPRO_BUILD_REVIEW,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,112,3664
agatha/scalding/data/DataLoader.scala,agatha,D10,D16,D10;D16,YES,HIGH,agatha/account-signals,FULL_SOURCE_REVIEW,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,15,410
agatha/scalding/data/DataLoaderUtil.scala,agatha,D10,D16,D10;D16,YES,HIGH,agatha/account-signals,FULL_SOURCE_REVIEW,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,53,1474
agatha/scalding/data/FeatureExtractionTemplate.scala,agatha,D10,D16,D10;D16,YES,HIGH,agatha/account-signals,FULL_SOURCE_REVIEW,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,57,2465
agatha/scalding/data/loaders/AbuseReportGraphDataLoader.scala,agatha,D10,D16,D10;D16,YES,HIGH,agatha/account-signals,FULL_SOURCE_REVIEW,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,12,538
agatha/scalding/data/loaders/BUILD.bazel,agatha,D10,D16;D19,D10;D16;D19,YES,HIGH,agatha/account-signals,REPRO_BUILD_REVIEW,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,287,8010
agatha/scalding/data/loaders/BlockGraphDataLoader.scala,agatha,D10,D16,D10;D16,YES,HIGH,agatha/account-signals,FULL_SOURCE_REVIEW,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,12,512
