path,top_component,kind_hint,extension,bytes,lines,utf8_text,sha256,git_blob_sha1,is_test_hint,is_doc_hint,is_config_hint,generated_hint,is_symlink
CODE_OF_CONDUCT.md,[root],documentation,.md,28,1,True,d5ba112a67de435d35ff876d45e68fd67aa33f285e74b4623f2a380374167bba,d715425a26df1fa0d49f333408339f103ca6d8f1,False,True,False,False,False
LICENSE,[root],other,[no extension],11357,201,True,c71d239df91726fc519c6eb72d318ec65820627232b2f796219e87dcf35d0ab4,261eeb9e9f8b2b4b0d119366dda99c6fd7d35c64,False,False,False,False,False
README.md,[root],documentation,.md,45489,482,True,d4da80db7fdfc1823d0e4f1fbc60dd690fea7a3755544ad8e3d94dec85342fa9,fb83f9ca5fba376e0919c457781bd8f64d6d8c6e,False,True,False,False,False
abuse-enforcement-service/server/src/main.rs,abuse-enforcement-service,source,.rs,3536,104,True,c75658933d25cd954132c8112704abec892ed6f4ccd0e4f0f7d47067a4c4b42b,d37f9b49543ab5817ee1740fb0d860b77c4d7c75,False,False,False,False,False
abuse-enforcement-service/service-lib/rules/enforcement_post.yaml,abuse-enforcement-service,config_or_build,.yaml,2132,82,True,ea2d503b781c365a706e9c9923b693128ae3d6004bcd851a2f1800001b463000,bf4de586489a41351870669de78a3b71287cb36d,False,False,True,False,False
abuse-enforcement-service/service-lib/rules/enforcement_user.yaml,abuse-enforcement-service,config_or_build,.yaml,6384,210,True,4e697de7383ecc0c46a6c814fe817b74fd8bac7f44e069cb24cc917bffebdd59,96327641e51c5822b272f2581510ea2b94cd485d,False,False,True,False,False
abuse-enforcement-service/service-lib/src/ais_client.rs,abuse-enforcement-service,source,.rs,18452,595,True,1bba0d7a6e2fc45283eb4a3c38edf7786d08abc863edadf1ee8881fdcffef30b,63d842953e6d6537cca3ef4c95212666841dc630,False,False,False,False,False
abuse-enforcement-service/service-lib/src/allowlist.rs,abuse-enforcement-service,source,.rs,5273,172,True,4fcbabbd7e1ba812af826d3071d2b5a888c8e50f547c87eeaf213e2603d60132,bef3e83ad7e2af1ccda45937686d20e2dd202925,False,False,False,False,False
abuse-enforcement-service/service-lib/src/api_doc.rs,abuse-enforcement-service,source,.rs,8391,212,True,0152dab67c10375d48ef36f6fd86c09a8b4aa2ea1d8dc807467f8585167719eb,6abd1c429b270b5ada90d448a37b56fc847c75f8,False,False,False,False,False
abuse-enforcement-service/service-lib/src/auth.rs,abuse-enforcement-service,source,.rs,6979,227,True,62aedd76575cab4b6e59809fcdaf67e3cf0aadbd243a7cc05bb4b5e0154981dc,dfd0681049b2c3126e934e60b7a84164246a097f,False,False,False,False,False
abuse-enforcement-service/service-lib/src/bin/validate_rules_yaml.rs,abuse-enforcement-service,source,.rs,969,33,True,463f38a5cd2ba7219f815a4e1bed60c78b2ad8845d2de565b8fb337539d65a4f,9de97f43a57ba29cbb15429188c49f79232c26e5,False,False,False,False,False
abuse-enforcement-service/service-lib/src/config.rs,abuse-enforcement-service,source,.rs,10097,336,True,3562ba3b772bdfeeb5827131df11861977265f1b4797f6ad05896e2ce07c4b4b,2825f2fc4d4df236f945ce49336c3b527f10559d,False,False,False,False,False
abuse-enforcement-service/service-lib/src/decision.rs,abuse-enforcement-service,source,.rs,947,38,True,108c3803f80454241ed6620e85f291cc5760e69a017bfbf313210e1f0ad537eb,a64a3c8427b852c4deba2f76f6979e90a9be8c92,False,False,False,False,False
